word,language,meaning,example_sentence
bonjour,French,hello,"Bonjour, je m'appelle Marie."
merci,French,thank you,Merci beaucoup pour ton aide.
ami,French,friend (male),Mon ami habite à Paris.
amie,French,friend (female),Mon amie s'appelle Sophie.
maison,French,house,La maison est très belle.
livre,French,book,Je lis un livre intéressant.
eau,French,water,Je voudrais un verre d'eau.
nourriture,French,food,La nourriture française est délicieuse.
chien,French,dog,Le chien court dans le parc.
chat,French,cat,Le chat dort sur le canapé.
famille,French,family,Ma famille est très importante.
école,French,school,Les enfants vont à l'école.
ville,French,city,Paris est une grande ville.
temps,French,time / weather,Il fait beau temps aujourd'hui.
travail,French,work,Mon travail est intéressant.
bon,French,good,C'est un bon restaurant.
grand,French,big,C'est un grand bâtiment.
petit,French,small,J'ai un petit appartement.
manger,French,to eat,Nous allons manger ensemble.
dormir,French,to sleep,J'ai besoin de dormir.
parler,French,to speak,Je veux parler français couramment.
voiture,French,car,Ma voiture est rouge.
café,French,coffee,Je bois un café le matin.
pain,French,bread,Le pain est frais.
vin,French,wine,Le vin rouge est excellent.

