word,language,meaning,example_sentence
hallo,German,hello,"Hallo, ich heiße Hans."
danke,German,thank you,Vielen Dank für deine Hilfe.
freund,German,friend,Mein Freund wohnt in Berlin.
haus,German,house,Das Haus ist sehr groß.
buch,German,book,Ich lese ein interessantes Buch.
wasser,German,water,Ich brauche ein Glas Wasser.
essen,German,food,Das deutsche Essen ist lecker.
hund,German,dog,Der Hund läuft im Park.
katze,German,cat,Die Katze schläft auf dem Sofa.
familie,German,family,Meine Familie ist sehr wichtig.
schule,German,school,Die Kinder gehen zur Schule.
stadt,German,city,Berlin ist eine große Stadt.
zeit,German,time,Ich habe keine Zeit heute.
arbeit,German,work,Meine Arbeit ist interessant.
gut,German,good,Das ist ein gutes Restaurant.
groß,German,big,Das ist ein großes Gebäude.
klein,German,small,Ich habe eine kleine Wohnung.
essen,German,to eat,Wir werden zusammen essen.
schlafen,German,to sleep,Ich muss schlafen.
sprechen,German,to speak,Ich möchte Deutsch sprechen.
auto,German,car,Mein Auto ist blau.
kaffee,German,coffee,Ich trinke morgens Kaffee.
brot,German,bread,Das Brot ist frisch.
bier,German,beer,Das deutsche Bier ist bekannt.
musik,German,music,Ich höre gerne Musik.

