word,language,meaning,example_sentence
வணக்கம்,Tamil,hello / greetings,"வணக்கம், என் பெயர் ராஜ்."
நன்றி,Tamil,thank you,உங்கள் உதவிக்கு நன்றி.
நண்பன்,Tamil,friend (male),என் நண்பன் சென்னையில் வசிக்கிறான்.
தோழி,Tamil,friend (female),என் தோழி பள்ளிக்கு செல்கிறாள்.
வீடு,Tamil,house,என் வீடு மிகவும் பெரியது.
புத்தகம்,Tamil,book,நான் ஒரு நல்ல புத்தகம் படிக்கிறேன்.
தண்ணீர்,Tamil,water,எனக்கு ஒரு கிளாஸ் தண்ணீர் வேண்டும்.
உணவு,Tamil,food,தமிழ் உணவு மிகவும் சுவையாக இருக்கிறது.
நாய்,Tamil,dog,அந்த நாய் பூங்காவில் ஓடுகிறது.
பூனை,Tamil,cat,பூனை மெத்தையில் தூங்குகிறது.
குடும்பம்,Tamil,family,என் குடும்பம் மிகவும் பெரியது.
பள்ளி,Tamil,school,மாணவர்கள் பள்ளிக்கு செல்கிறார்கள்.
ஊர்,Tamil,town / village,எங்கள் ஊர் மிகவும் அழகானது.
நேரம்,Tamil,time,எனக்கு இன்று நேரம் இல்லை.
வேலை,Tamil,work,என் வேலை மிகவும் சுவாரஸ்யமானது.
நல்ல,Tamil,good,இது ஒரு நல்ல உணவகம்.
பெரிய,Tamil,big,அது ஒரு பெரிய கட்டிடம்.
சிறிய,Tamil,small,எனக்கு ஒரு சிறிய வீடு உள்ளது.
சாப்பிட,Tamil,to eat,நாம் சேர்ந்து சாப்பிடலாம்.
தூங்க,Tamil,to sleep,எனக்கு எட்டு மணி நேரம் தூங்க வேண்டும்.
பேச,Tamil,to speak,நான் தமிழ் பேச விரும்புகிறேன்.
கார்,Tamil,car,என் கார் சிவப்பு நிறம்.
காபி,Tamil,coffee,நான் காலையில் காபி குடிக்கிறேன்.
சாப்பாடு,Tamil,meal / food,இன்றைய சாப்பாடு நன்றாக இருக்கிறது.
பாடல்,Tamil,song,நான் தமிழ் பாடல் கேட்க விரும்புகிறேன்.
அன்பு,Tamil,love,அன்பு எல்லாவற்றிலும் முக்கியம்.
மகிழ்ச்சி,Tamil,happiness,இன்று நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்.
படிப்பு,Tamil,study / education,படிப்பு மிகவும் முக்கியம்.
நகரம்,Tamil,city,சென்னை ஒரு அழகான நகரம்.
மலை,Tamil,mountain,அந்த மலை மிகவும் உயரமானது.
அம்மா,Tamil,mother,என் அம்மா ஆசிரியர்.
அப்பா,Tamil,father,என் அப்பா மருத்துவர்.
தம்பி,Tamil,younger brother,என் தம்பி பள்ளியில் படிக்கிறான்.
அக்கா,Tamil,elder sister,என் அக்கா கல்லூரிக்கு செல்கிறாள்.
பால்,Tamil,milk,நான் தினமும் பால் குடிக்கிறேன்.
சோறு,Tamil,rice / cooked rice,நான் சோறு சாப்பிட விரும்புகிறேன்.
மரம்,Tamil,tree,அந்த மரம் மிகவும் பழையது.
பூ,Tamil,flower,இந்த பூ மிகவும் அழகாக இருக்கிறது.
வானம்,Tamil,sky,வானம் நீல நிறமாக இருக்கிறது.
கடல்,Tamil,sea / ocean,நாங்கள் கடலுக்கு செல்கிறோம்.


